glass,6047
glasses,4602
surface,2932
films,2612
doped,2156
composites,1966
film,1799
crystals,1456
composite,1438
particles,1376
powder,1346
alloy,1329
layer,1248
substrate,1229
amorphous,980
bulk,918
crystal,912
thin films,884
blends,872
nanoparticles,862
scaffolds,826
alloys,773
powders,765
crystalline,690
interface,684
surfaces,684
nanocomposites,655
layers,575
fibers,556
fiber,532
substrates,464
pure,438
scaffold,417
as-cast,412
thin film,411
NPs,402
blend,384
as-prepared,372
matrix,359
membrane,349
plate,324
laminated,320
nanocomposite,314
ceramics,312
membranes,311
porous,308
glass - ceramic,296
as-deposited,291
particle,286
beads,278
