composition,1678
Tg,1107
microstructure,793
structure,737
Tc,732
density,613
BMG,581
compressive strength,565
morphology,563
crystallinity,454
particle size,345
porosity,288
activation energy,274
Young 's modulus,272
fracture surface,261
bioactive,252
viscosity,236
refractive index,226
dielectric constant,214
hardness,199
pH,197
Tm,197
tensile strength,190
grain size,179
crystallization temperature,178
conductivity,162
flexural strength,157
magnetization,151
storage modulus,150
