2	1	0	4	O	O
2	2	5	7	O	O
2	3	8	14	B-EXPERIMENT	B-experiment_evoking_word
2	4	15	16	O	O
2	5	17	24	B-MATERIAL	O
2	6	25	28	I-MATERIAL	O
2	7	29	37	I-MATERIAL	O
2	8	38	52	I-MATERIAL	O
2	9	53	63	I-MATERIAL	O
2	10	64	85	I-MATERIAL	B-cathode_material
2	11	86	88	O	O
2	12	89	90	O	O
2	13	91	98	O	O
2	14	98	99	O	O
2	15	100	105	O	O
2	16	106	114	B-EXPERIMENT	B-experiment_evoking_word
2	17	115	119	O	O
2	18	120	135	O	O
2	19	135	136	O	O
3	1	0	4	B-MATERIAL	B-cathode_material
3	2	5	12	I-MATERIAL	I-cathode_material
3	3	13	16	B-EXPERIMENT	B-experiment_evoking_word
3	4	17	19	O	O
3	5	20	24	O	O
3	6	24	25	O	O
3	7	25	33	O	O
3	8	34	46	O	O
3	9	47	57	O	O
3	10	58	60	O	O
3	11	61	64	O	O
3	12	65	67	O	O
3	13	68	69	B-VALUE	B-resistance
3	14	69	73	I-VALUE	I-resistance
3	15	74	77	O	O
3	16	78	79	B-VALUE	B-resistance
3	17	79	83	I-VALUE	I-resistance
3	18	84	85	I-VALUE	I-resistance
3	19	86	89	I-VALUE	I-resistance
3	20	90	92	O	O
3	21	93	94	O	O
3	22	95	106	O	O
3	23	107	111	B-DEVICE	B-device
3	24	112	115	O	O
3	25	116	120	O	O
3	26	121	126	O	O
3	27	127	136	O	O
3	28	137	139	O	O
3	29	140	143	B-VALUE	B-power_density
3	30	144	147	O	O
3	31	148	151	B-VALUE	B-power_density
3	32	152	153	I-VALUE	I-power_density
3	33	154	158	I-VALUE	I-power_density
3	34	159	161	O	O
3	35	162	163	O	O
3	36	164	179	B-MATERIAL	B-anode_material
3	37	179	180	I-MATERIAL	I-anode_material
3	38	180	185	I-MATERIAL	I-anode_material
3	39	186	191	I-MATERIAL	B-support_material
3	40	191	192	I-MATERIAL	I-support_material
3	41	192	201	I-MATERIAL	I-support_material
3	42	202	206	B-DEVICE	B-device
3	43	207	211	I-DEVICE	I-device
3	44	212	214	O	O
3	45	215	218	B-VALUE	B-working_temperature
3	46	219	222	O	O
3	47	223	226	B-VALUE	B-working_temperature
3	48	227	228	I-VALUE	I-working_temperature
3	49	228	229	I-VALUE	I-working_temperature
3	50	229	230	O	O
3	51	231	243	O	O
3	52	243	244	O	O
7	1	0	4	O	O
7	2	4	5	O	O
7	3	6	9	O	O
7	4	10	17	O	O
