4	1	0	1	O	O
4	2	2	8	O	O
4	3	9	13	B-DEVICE	B-device
4	4	14	19	O	O
4	5	20	22	O	O
4	6	23	24	O	O
4	7	25	31	O	O
4	8	32	43	B-MATERIAL	B-support_material
4	9	44	53	O	O
4	10	54	56	O	O
4	11	57	64	O	O
4	12	65	66	O	O
4	13	66	69	O	O
4	14	69	70	O	O
4	15	71	73	O	O
4	16	74	79	O	O
4	17	80	88	B-EXPERIMENT	B-experiment_evoking_word
4	18	89	92	O	O
4	19	93	97	B-DEVICE	B-device
4	20	97	98	O	O
4	21	98	102	B-DEVICE	B-device
4	22	103	108	O	O
4	23	109	122	O	O
4	24	123	126	O	O
4	25	127	135	O	O
4	26	136	145	O	O
4	27	146	158	O	O
4	28	159	162	O	O
4	29	163	174	O	O
4	30	175	177	O	O
4	31	178	183	O	O
4	32	183	184	O	O
4	33	185	191	O	O
4	34	192	195	O	O
4	35	196	201	O	O
4	36	202	207	O	O
4	37	208	212	O	O
4	38	213	217	O	O
4	39	218	221	O	O
4	40	222	234	O	O
4	41	235	242	O	O
4	42	242	243	O	O
6	1	0	2	O	O
6	2	3	10	O	O
6	3	11	14	O	O
6	4	15	26	O	O
6	5	27	29	O	O
6	6	30	34	O	O
6	7	35	39	O	O
6	8	40	44	O	O
6	9	45	47	O	O
6	10	48	52	B-DEVICE	B-device
6	11	52	53	O	O
6	12	53	57	B-DEVICE	B-device
6	13	58	62	O	O
6	14	62	63	O	O
6	15	64	75	O	O
6	16	76	80	O	O
6	17	81	91	O	O
6	18	91	92	O	O
6	19	93	95	O	O
6	20	96	99	O	O
6	21	100	105	O	O
6	22	106	108	O	O
6	23	109	111	B-MATERIAL	B-anode_material
6	24	111	112	I-MATERIAL	I-anode_material
6	25	112	115	I-MATERIAL	I-anode_material
6	26	116	118	O	O
6	27	119	123	O	O
6	28	124	126	O	O
6	29	127	139	O	O
6	30	140	144	O	O
6	31	145	152	O	O
6	32	153	162	O	O
6	33	162	163	O	O
6	34	164	168	O	O
6	35	169	173	O	O
6	36	174	181	B-EXPERIMENT	B-experiment_evoking_word
6	37	181	182	O	O
7	1	0	11	O	O
7	2	11	12	O	O
7	3	13	22	O	O
7	4	23	34	O	O
7	5	35	37	O	O
7	6	38	41	O	O
7	7	42	45	O	O
7	8	46	50	O	O
7	9	51	55	O	O
7	10	56	60	O	O
7	11	61	67	B-EXPERIMENT	B-experiment_evoking_word
7	12	68	70	O	O
7	13	71	76	O	O
7	14	77	80	O	O
7	15	81	90	O	O
7	16	91	103	O	O
7	17	104	107	O	O
7	18	108	110	O	O
7	19	111	117	O	O
7	20	118	121	O	O
7	21	122	126	O	O
7	22	127	138	O	O
7	23	139	141	O	O
7	24	142	154	O	O
7	25	155	159	O	O
7	26	159	160	O	O
8	1	0	7	O	O
8	2	7	8	O	O
8	3	9	12	O	O
8	4	13	22	O	O
8	5	23	25	O	O
8	6	26	29	O	O
8	7	30	40	O	O
8	8	41	46	O	O
8	9	47	49	O	O
