Document title	Authors	Journal	Publisher	DOI	name	External URL	Publication date	license	set	checked license
Fabrication of low-temperature solid oxide fuel cells with a nanothin protective layer by atomic layer deposition	Sanghoon Ji; Ikwhang Chang; Yoon Ho Lee; Joonho Park; Jun Yeol Paek; Min Hwan Lee; Suk Won Cha	Nanoscale Research Letters	Springer	10.1186/1556-276X-8-48	PMC3564701	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3564701	23.01.2013	CC BY	train	1
Recent Developments of Electrochemical Promotion of Catalysis in the Techniques of DeNOx	Xiaolong Tang; Xianmang Xu; Honghong Yi; Chen Chen; Chuan Wang	The Scientific World Journal	Hindawi Publishing Corporation	10.1155/2013/463160	PMC3730159	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3730159	16.07.2013	CC BY	train	1
Single Sublattice Endotaxial Phase Separation Driven by Charge Frustration in a Complex Oxide	Antoine Demont; Ruth Sayers; Maria A. Tsiamtsouri; Simon Romani; Philip A. Chater; Hongjun Niu; Carlos Mart´è?-Gastaldo; Zhongling Xu; Zengqiang Deng; Yohann Br´è?ard; Michael F. Thomas; John B. Claridge; Matthew J. Rosseinsky	Journal of the American Chemical Society	American Chemical Society	10.1021/ja403611s	PMC3793895	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3793895	10.06.2013	CC BY	train	1
A Review of RedOx Cycling of Solid Oxide Fuel Cells Anode	Antonin Faes; A´è?cha Hessler-Wyser; Am´è?d´è?e Zryd; Jan Van Herle	Membranes	MDPI	10.3390/membranes2030585	PMC4021905	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4021905	31.08.2012	CC BY	train	1
Nanocrystalline ceria coatings on solid oxide fuel cell anodes: the role of organic surfactant pretreatments on coating microstructures and sulfur tolerance	Chieh-Chun Wu; Ling Tang; Mark R De Guire; Claudia Steinem; Joachim Bill	Beilstein Journal of Nanotechnology	Beilstein-Institut	10.3762/bjnano.5.181	PMC4222441	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4222441	06.10.2014	CC BY	train	1
High performance anode-supported tubular solid oxide fuel cells fabricated by a novel slurry-casting method	Nan-Qi Duan; Dong Yan; Bo Chi; Jian Pu; Li Jian	Scientific Reports	Nature Publishing Group	10.1038/srep08174	PMC4313086	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4313086	02.02.2015	CC BY	train	1
Flowerlike CeO2 microspheres coated with Sr2Fe1.5Mo0.5Ox nanoparticles for an advanced fuel cell	Yanyan Liu; Yongfu Tang; Zhaohui Ma; Manish Singh; Yunjuan He; Wenjing Dong; Chunwen Sun; Bin Zhu	Scientific Reports	Nature Publishing Group	10.1038/srep11946	PMC4495617	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4495617	08.07.2015	CC BY	dev	1
Surface engineering of nanoporous substrate for solid oxide fuel cells with atomic layer-deposited electrolyte	Sanghoon Ji; Waqas Hassan Tanveer; Wonjong Yu; Sungmin Kang; Gu Young Cho; Sung Han Kim; Jihwan An; Suk Won Cha; Nunzio Motta	Beilstein Journal of Nanotechnology	Beilstein-Institut	10.3762/bjnano.6.184	PMC4578433	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4578433	27.08.2015	CC BY	train	1
In situ fabrication of high-performance Ni-GDC-nanocube core-shell anode for low-temperature solid-oxide fuel cells	Kazuhiro Yamamoto; Nan Qiu; Satoshi Ohara	Scientific Reports	Nature Publishing Group	10.1038/srep17433	PMC4663492	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4663492	30.11.2015	CC BY	train	1
A High-Performing Sulfur-Tolerant and Redox-Stable Layered Perovskite Anode for Direct Hydrocarbon Solid Oxide Fuel Cells	Hanping Ding; Zetian Tao; Shun Liu; Jiujun Zhang	Scientific Reports	Nature Publishing Group	10.1038/srep18129	PMC4673446	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4673446	09.12.2015	CC BY	train	1
Spatial Distribution of Oxygen Chemical Potential under Potential Gradients and Theoretical Maximum Power Density with 8YSZ Electrolyte	Dae-Kwang Lim; Ha-Ni Im; Sun-Ju Song	Scientific Reports	Nature Publishing Group	10.1038/srep18804	PMC4698742	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4698742	04.01.2016	CC BY	dev	1
Ambient Pressure XPS Study of Mixed Conducting Perovskite-Type SOFC Cathode and Anode Materials under Well-Defined Electrochemical Polarization	Andreas Nenning; Alexander K. Opitz; Christoph Rameshan; Raffael Rameshan; Raoul Blume; Michael H´è?vecker; Axel Knop-Gericke; G´è?nther Rupprechter; Bernhard Kl´è?tzer; J´è?rgen Fleig	The Journal of Physical Chemistry. C, Nanomaterials and Interfaces	"American Chemical
Society"	10.1021/acs.jpcc.5b08596	PMC4735809	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4735809	17.12.2015	CC BY	dev	1
Proton-conducting Micro-solid Oxide Fuel Cells with Improved Cathode Reactions by a Nanoscale Thin Film Gadolinium-doped Ceria Interlayer	Yong Li; Shijie Wang; Pei-Chen Su	Scientific Reports	Nature Publishing Group	10.1038/srep22369	PMC4770875	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4770875	29.02.2016	CC BY	train	1
Micro solid oxide fuel cell fabricated on porous stainless steel: a new strategy for enhanced thermal cycling ability	Kun Joong Kim; Byung Hyun Park; Sun Jae Kim; Younki Lee; Hongyeul Bae; Gyeong Man Choi	Scientific Reports	Nature Publishing Group	10.1038/srep22443	PMC4772004	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4772004	01.03.2016	CC BY	train	1
Tailoring the Microstructure of a Solid Oxide Fuel Cell Anode Support by Calcination and Milling of YSZ	Amir Reza Hanifi; Miguel A. Laguna-Bercero; Navjot Kaur Sandhu; Thomas H. Etsell; Partha Sarkar	Scientific Reports	Nature Publishing Group	10.1038/srep27359	PMC4895149	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4895149	07.06.2016	CC BY	train	
Electrochemical properties of La0.6Sr0.4CoO3´è??´è?´è? thin films investigated by complementary impedance spectroscopy and isotope exchange depth profiling	Markus Kubicek; Tobias M. Huber; Andreas Welzl; Alexander Penn; Ghislain M. Rupp; Johannes Bernardi; Michael St´è?ger-Pollach; Herbert Hutter; J´è?rgen Fleig	Solid State Ionics	Elsevier Science B.V	10.1016/j.ssi.2013.12.016	PMC4986314	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4986314	01.03.2014	CC BY	train	
A perovskite oxide with high conductivities in both air and reducing atmosphere for use as electrode for solid oxide fuel cells	Rong Lan; Peter I. Cowin; Sivaprakash Sengodan; Shanwen Tao	Scientific Reports	Nature Publishing Group	10.1038/srep31839	PMC4992832	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4992832	22.08.2016	CC BY	train	
Enhanced methane steam reforming activity and electrochemical performance of Ni0.9Fe0.1-supported solid oxide fuel cells with infiltrated Ni-TiO2 particles	Kai Li; Lichao Jia; Xin Wang; Jian Pu; Bo Chi; Jian Li	Scientific Reports	Nature Publishing Group	10.1038/srep35981	PMC5075869	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC5075869	24.10.2016	CC BY	train	
A niobium and tantalum co-doped perovskite cathode for solid oxide fuel cells operating below 500 ´è?C	Mengran Li; Mingwen Zhao; Feng Li; Wei Zhou; Vanessa K. Peterson; Xiaoyong Xu; Zongping Shao; Ian Gentle; Zhonghua Zhu	Nature Communications	Nature Publishing Group	10.1038/ncomms13990	PMC5216129	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC5216129	03.01.2017	CC BY	train	
Demonstrating the potential of yttrium-doped barium zirconate electrolyte for high-performance fuel cells	Kiho Bae; Dong Young Jang; Hyung Jong Choi; Donghwan Kim; Jongsup Hong; Byung-Kook Kim; Jong-Ho Lee; Ji-Won Son; Joon Hyung Shim	Nature Communications	Nature Publishing Group	10.1038/ncomms14553	PMC5331335	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC5331335	23.02.2017	CC BY	train	
Roles of Bulk and Surface Chemistry in the Oxygen Exchange Kinetics and Related Properties of Mixed Conducting Perovskite Oxide Electrodes	Nicola H. Perry; Tatsumi Ishihara; Norbert H. Menzler	Materials	MDPI	10.3390/ma9100858	PMC5456601	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC5456601	21.10.2016	CC BY	train	
Nb5+-Doped SrCoO3?´è? Perovskites as Potential Cathodes for Solid-Oxide Fuel Cells	Vanessa Cascos; Jos´è? Antonio Alonso; Mar´è?a Teresa Fern´è?ndez-D´è?az; Haolin Tang	Materials	MDPI	10.3390/ma9070579	PMC5456866	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC5456866	15.07.2016	CC BY	dev	
Novel Mg-Doped SrMoO3 Perovskites Designed as Anode Materials for Solid Oxide Fuel Cells	Vanessa Cascos; Jos´è? Antonio Alonso; Mar´è?a Teresa Fern´è?ndez-D´è?az; Norbert H. Menzler	Materials	MDPI	10.3390/ma9070588	PMC5456869	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC5456869	19.07.2016	CC BY	train	
Operation of Thin-Film Electrolyte Metal-Supported Solid Oxide Fuel Cells in Lightweight and Stationary Stacks: Material and Microstructural Aspects	Daniel Roehrens; Ute Packbier; Qingping Fang; Ludger Blum; Doris Sebold; Martin Bram; Norbert Menzler; Douglas Ivey	Materials	MDPI	10.3390/ma9090762	PMC5457052	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC5457052	08.09.2016	CC BY	train	
New Rhenium-Doped SrCo1?xRexO3?´è? Perovskites Performing as Cathodes in Solid Oxide Fuel Cells	Loreto Troncoso; Mar´è?a Celeste Gardey; Mar´è?a Teresa Fern´è?ndez-D´è?az; Jos´è? Antonio Alonso; Christof Schneider	Materials	MDPI	10.3390/ma9090717	PMC5457058	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC5457058	24.08.2016	CC BY	dev	
(Bi,Sr) (Fe1?x,Mx)O3?´è? (M = Co, Ni and Mn) Cathode Materials with Mixed Electro-Ionic Conductivity	Wen-Cheng J. Wei; Der-Rong Huang; Dan Wang; Christof Schneider	Materials	MDPI	10.3390/ma9110922	PMC5457196	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC5457196	14.11.2016	CC BY	dev	
Influence of Electrode Design and Contacting Layers on Performance of Electrolyte Supported SOFC/SOEC Single Cells	Mihails Kusnezoff; Nikolai Trofimenko; Martin M´è?ller; Alexander Michaelis; Norbert H. Menzler	Materials	MDPI	10.3390/ma9110906	PMC5457246	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC5457246	08.11.2016	CC BY	dev	
Rational Design of a Water?Storable Hierarchical Architecture Decorated with Amorphous Barium Oxide and Nickel Nanoparticles as a Solid Oxide Fuel Cell Anode with Excellent Sulfur Tolerance	Yufei Song; Wei Wang; Lei Ge; Xiaomin Xu; Zhenbao Zhang; Paulo S´è?rgio Barros Juli?o; Wei Zhou; Zongping Shao	Advanced Science	John Wiley and Sons Inc.	10.1002/advs.201700337	PMC5700654	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC5700654	15.09.2017	CC BY	train	
Electrospun Ceramic Nanofiber Mats Today: Synthesis, Properties, and Applications	Hamid Esfahani; Rajan Jose; Seeram Ramakrishna	Materials	MDPI	10.3390/ma10111238	PMC5706185	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC5706185	27.10.2017	CC BY	train	
Study on Zinc Oxide-Based Electrolytes in Low-Temperature Solid Oxide Fuel Cells	Chen Xia; Zheng Qiao; Chu Feng; Jung-Sik Kim; Baoyuan Wang; Bin Zhu	Materials	MDPI	10.3390/ma11010040	PMC5793538	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC5793538	28.12.2017	CC BY	train	
Effect of Cation Ordering on the Performance and Chemical Stability of Layered Double Perovskite Cathodes	Carlos Bernuy-Lopez; Laura Rioja-Monllor; Takashi Nakamura; Sandrine Ricote; Ryan O?Hayre; Koji Amezawa; Mari-Ann Einarsrud; Tor Grande	Materials	MDPI	10.3390/ma11020196	PMC5848893	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC5848893	26.01.2018	CC BY	train	
