Abstract,Label
"The quark pair creation (QPC) model is found to predict a unique e.m. strength of the Î´ 0 Ïµ A J (Jeven) tadpole which dominates Î· â 3Ï decay and yields a width of 190 eV, in excellent accord with experiment (204 Â± 22 eV).",0
"A novel electrochemical deposition method for growth of gold nanoparticles (GNPs) on indium tin oxide (ITO) thin film coated glass was investigated. The resulting electrode surface was characterized by SEM, UVâVis spectroscopy and electrochemical methods. The GNPs directly attached on the electrode surface with a quasi-spherical shape and their sizes of diameters were in the range of 20â35nm with a quite symmetric distribution. With increasing electrodeposition cycles of cyclic voltammetry, the density of GNPs on ITO electrode surface was increased. The potential utility of the GNPs modified ITO electrode was investigated. Superoxide dismutase (SOD) was successfully immobilized on GNPs modified ITO electrode and the direct electron transfer between enzyme and electrode surface realized. The enzyme electrode exhibited a rapid and high response to superoxide anion.",0
"Non-rare-earth Bi was firstly used as sensitizer on Ho3+: 2.0Â Î¼m emission for its mid-infrared applications in successfully prepared germanosilicate glass under 808Â nm excitation. Sensitization mechanism has been analyzed theoretically through matched energy transfer processes based on the measured absorption, fluorescence spectra and calculated luminous parameters. Meanwhile, typical broadband near-infrared (NIR) emission band of Bi ions has also been obtained in present germanosilicate glass, which shifts to a longer wavelength with Ho3+ co-doped owing to the different of Bi-related active centers. X-ray Photoelectron Spectroscopy demonstrated that the addition of Ho3+ lead to the part valence conversion among the mixed-valence state of Bi. All results reveal that Bi/Ho co-doped germanosilicate glass might provide a new choice for 2.0Â Î¼m laser applications.",1
"Absorption spectra and the sites selective fluorescence spectra of Yb3+ in phosphate glass were investigated at temperatures between 8 and 300 K. Results show that there was an abnormal absorption line in absorption spectra at low temperatures, and the blue shift of the absorption peaks was discovered with the increase in temperature.",1
"This study investigates the effects of cold pre-forging (CPF) on the extrusion load during hot extrusion and on the microstructure and mechanical properties of extruded AZ80 alloy. For this purpose, a billet is forged to 10% strain at room temperature and then subjected to indirect extrusion at 200Â°C. The CPF process causes the formation of a large amount of deformation twins and an increase in the dislocation density of the billet. The cold-forged AZ80 billet exhibits a higher extrusion load during extrusion than an unforged AZ80 billet, owing to the occurrence of twin-boundary hardening and enhanced strain-hardening effects in the former. The initial twins introduced by the CPF process promote dynamic recrystallization behavior during extrusion because they act as nucleation sites for recrystallization. As a result, the CPF process increases the area fraction of fine recrystallized grains and the microstructural homogeneity of the extruded alloy. The AZ80 alloy extruded after CPF shows a higher tensile strength and ductility than the AZ80 alloy extruded without CPF. The improvement in strength is attributed mainly to the decrease in the average grain size caused by an increased recrystallization fraction. The increased ductility is due to the reduced area fraction of coarse unrecrystallized grains, in which microcracks occur during tensile plastic deformation.",0
"Optically transparent zinc oxide (ZnO) thin films having thickness of 70, 150, 200 and 270Â nm are deposited on heated glass substrates using the radio frequency (rf) magnetron sputtering method to examine their structural and waveguide properties. The XRD analyses show that the ZnO films on SiO2/Glass substrate are poly-oriented and have a hexagonal wurtzite structure. All thin films exhibit optical transmittance of >80% in the visible range. The increase in film thickness to 270Â nm leads to growth of crystallinity and grain size to 35Â nm, increase in the transmittance and refractive indexes for both TM and TE modes, and decrease in the bandgap energy. The room temperature photoluminescence (PL) exhibit UV (â¼3.20â3.23Â eV) and green (â¼2.37Â eV) emission for all samples. However, the peaks intensity for UV emission gradually decreases which is attributed to decrease in the concentration of photo-carriers, their aggregations and larger amount of energy transfer to the down layer. Achieving the high optical transmittance of 95%, high refractive indexes and high level of crystallinity for 270Â nm ZnO films prepared by socio economic rf magnetron sputtered make it appropriate transparent conductors for waveguide applications. The excellent features of the results suggest that our systematic growth and analysis methods may establish a basis for the tunable growth of ZnO/SiO2/glass hetero-structure thin films suitable in nanophotonics particularly waveguide application.",0
"A Ti33Cu47Zr9Ni6Sn2Si1Nb2 bulk metallic glass has been developed by Nb partial substitution for Zr in Ti33Cu47Zr11Ni6Sn2Si1 alloy. The glass forming ability Ti33Cu47Zr9Ni6Sn2Si1Nb2 alloy has been investigated using differential scanning calorimetry and X-ray diffractometry. Partial Nb substitutes for Zr promote the glass forming ability. Ti33Cu47Zr9Ni6Sn2Si1Nb2 BMG with diameter of 3mm can be fabricated by Cu-mold injection casting method. The glass forming ability of Ti33Cu47Zr9Ni6Sn2Si1Nb2 alloy is enhanced by stabilizing the undercooled liquid against crystallization. The plastic strain up to 2.5% was obtained for Ti33Cu47Zr9Ni6Sn2Si1Nb2 BMG compared to 0.15% for Ti33Cu47Zr11Ni6Sn2Si1 BMG, which demonstrates that small amount of Nb addition can have a dramatic effect on plasticity enhancement in TiâCu-based BMG. The intersection and branching of the shear bands are observed. The plastic strain of the Ti33Cu47Zr9Ni6Sn2Si1Nb2 BMG can be improved by the generation of nanocrystalline particles, which lead to multiple shear bands.",0
"Amorphous semiconductors As2âxSe3+x and As2âxS3+x have been prepared by glow discharge decomposition of a gas mixture of AsH3 î¸ H2Se and AsH3 î¸ H2S respectively. The films contain about 3â8 at. percent hydrogen according to infrared transmission measurements. Both S-H and Se-H vibrational modes were observed. Results of the D.C. electrical conductivity, X-ray structural analyses and optical absorption are presented. The films composition was found to be close to As:Se = As:S = 2 3 .",1
"The corrosion behaviour of two bulk glass-matrix composite alloys formed by copper mould casting was analysed: (i) Zr66.4Nb6.4Cu10.5Ni8.7Al8.0 with precipitated bcc dendrite phase and (ii) Zr57Ti8Nb2.5Cu13.9Ni11.1Al7.5 with quasicrystalline phase, respectively. The electrochemical behaviour was tested on the cross-sectional areas of the composite rod samples in 0.5M sulphuric acid solution with up to 0.5M sodium chloride addition by potentiodynamic polarization measurements. The composition of anodically formed passive films was studied by means of Auger electron spectroscopy (AES). The morphology of local damages generated by a chloride-induced pitting process was examined with scanning electron microscopy. In result of those studies, a pitting mechanism is described. For both composites in chloride media, a pronounced selective dissolution of the glassy matrix phase occurs, whereas the crystalline phases are not attacked. Niobium and titanium components are beneficial in inhibiting the pitting initiation due to their participation in the passive film formation. The dissolution of the glassy matrix phase is explained by the principal higher chloride reactivity of metastable phases compared to that of stable crystalline phases and by the detected enrichment of copper in these phase regions. The chloride attack progressing along the matrix phase causes the formation of deep channels in the bulk composite material leading to an excavation and, finally, detachment of the bcc dendrites or quasicrystals, respectively. The re-passivation ability is very poor.",0
"The effect of replacement of fine and coarse aggregates with recycled glass on the fresh and hardened properties of Portland cement concrete at ambient and elevated temperatures is studied. Percentages of replacement of 0â100% of aggregates with fine waste glass (FWG), coarse waste glass (CWG), and fine and coarse waste glass (FCWG) were considered. Soda-lime glass used for bottles was washed and crushed to fine and coarse aggregate sizes for use in the concrete mixes. Samples were cured under 95% RH at room temperatures (20â22Â°C), heated in the oven to the desired temperatures, allowed to cool to ambient temperatures, and then tested for their residual compressive strength. The compressive strength of the concrete samples made with waste glass was measured at temperatures up to 700Â°C. Moreover, the effect of the percentages of replacement with recycled glass on the slump values and initial and final setting time of concrete has also been measured. The results of this study showed that the compressive strength of concrete made with RG decreases up to 20% of its original value with increasing temperatures up to 700Â°C. In general, concretes made with 10% aggregates replacement with FWG, CWG and FCWG had better properties in the fresh and hardened states at ambient and high temperatures than those with larger replacement. Concretes made with FWG aggregates had higher compressive strengths than those made with CWG and FCWG at ambient and elevated temperatures.",0
